0;0;0;0;land;false;unknown;0
1;210;90;214;land;true;plains;1
2;197;191;166;land;false;forest;1
3;232;94;226;land;false;forest;1
4;226;212;77;land;false;forest;1
5;171;197;217;land;false;urban;1
6;80;179;242;land;false;forest;1
7;221;80;204;land;false;plains;1
8;212;184;180;land;true;urban;1
9;205;172;243;land;false;mountain;1
10;236;216;182;land;false;plains;1
11;218;182;251;land;false;plains;1
12;175;183;253;land;false;urban;1
13;236;92;181;land;false;jungle;1
14;251;66;186;sea;true;ocean;1
15;153;192;227;land;false;forest;1
16;238;126;199;land;true;plains;1
17;227;218;221;land;false;plains;1
18;223;247;192;land;false;plains;1
19;176;230;110;land;false;plains;1
20;119;214;250;land;false;forest;1
21;88;232;252;land;false;plains;1
22;146;216;227;land;false;urban;1
23;138;224;236;land;false;plains;1
24;128;242;180;land;false;plains;1
25;165;152;200;land;false;plains;1
26;43;218;247;land;false;jungle;1
27;236;132;137;land;true;urban;1
28;147;210;250;land;false;plains;1
29;214;213;221;sea;true;ocean;1
30;187;230;182;sea;true;ocean;1
31;222;208;212;land;false;plains;1
32;201;198;150;land;true;urban;1
33;244;139;179;land;false;urban;1
34;245;235;200;land;false;forest;1
35;70;214;230;land;false;jungle;1
36;111;222;192;sea;true;ocean;1
37;107;203;222;land;false;plains;1
38;234;61;248;land;true;plains;1
39;163;107;242;land;true;urban;1
40;233;185;106;land;false;plains;1
41;245;184;85;land;false;urban;1
42;112;207;233;land;false;plains;1
43;232;231;75;land;false;plains;1
44;123;213;210;land;false;forest;1
45;189;253;84;land;false;plains;1
46;196;194;201;land;false;mountain;1
47;141;236;225;land;false;desert;1
48;253;123;171;sea;false;ocean;1
49;196;205;180;land;false;mountain;1
50;240;124;176;land;false;plains;1
51;224;207;151;land;false;jungle;1
52;219;137;225;land;false;urban;1
53;112;215;201;land;false;forest;1
54;192;149;172;land;true;plains;1
55;168;211;186;land;false;plains;1
56;222;220;222;land;true;forest;1
57;229;172;122;land;false;plains;1
58;160;222;218;land;false;plains;1
59;203;139;207;land;false;desert;1
60;137;245;237;land;false;plains;1
61;186;240;206;land;false;desert;1
62;250;246;183;land;false;plains;1
63;105;165;248;land;false;urban;1
64;254;245;14;land;false;forest;1
65;197;254;113;land;false;mountain;1
66;127;161;225;land;false;plains;1
67;224;221;218;land;false;urban;1
68;168;154;185;land;false;plains;1
69;166;250;115;land;false;forest;1
70;234;209;169;land;false;plains;1
71;62;222;217;land;false;plains;1
72;229;231;126;land;false;urban;1
73;158;240;235;land;false;plains;1
74;240;186;202;land;false;plains;1
75;170;171;193;land;false;urban;1
76;152;252;204;land;false;plains;1
77;114;254;134;land;false;plains;1
78;226;182;187;land;false;marsh;1
79;165;218;141;land;false;marsh;1
80;84;246;177;land;false;plains;1
81;108;239;236;land;false;urban;1
82;209;81;226;land;false;forest;1
83;91;172;250;land;false;urban;1
84;205;159;196;land;true;forest;1
85;214;188;148;land;false;urban;1
86;224;157;171;land;false;jungle;1
87;202;226;78;land;false;mountain;1
88;232;162;217;land;false;desert;1
89;96;244;253;land;false;plains;1
90;209;238;130;land;false;plains;1
91;228;187;116;land;false;plains;1
92;187;232;131;land;false;jungle;1
93;247;125;225;sea;true;ocean;1
94;105;178;227;land;false;plains;1
95;219;172;233;land;false;plains;1
96;201;228;158;land;false;forest;1
97;208;207;107;land;false;marsh;1
98;190;235;230;land;false;plains;1
99;194;187;131;land;false;plains;1
100;150;227;192;land;false;desert;1
101;240;105;160;land;false;forest;1
102;97;213;212;land;false;plains;1
103;202;237;119;land;false;jungle;1
104;249;184;199;land;false;plains;1
105;183;132;212;land;false;plains;1
106;71;241;225;land;true;urban;1
107;192;187;141;land;false;urban;1
108;189;137;240;land;false;urban;1
109;222;193;136;sea;true;ocean;1
110;156;227;253;land;false;forest;1
111;158;242;254;land;false;urban;1
112;163;241;113;land;false;plains;1
113;141;187;216;sea;true;ocean;1
